"","id","w_retail_and_recreation_percent_change_from_baseline","w_grocery_and_pharmacy_percent_change_from_baseline","w_workplaces_percent_change_from_baseline"
"10049","20200317_WILKES BARRE (PA) - SCRANTON (PA)",-23.3187969624567,13.4037270470473,-21.8814353124397
"10050","20200318_WILKES BARRE (PA) - SCRANTON (PA)",-28.6471970609572,5.54617877846033,-24.9208335274504
"10051","20200319_WILKES BARRE (PA) - SCRANTON (PA)",-30.1267415625645,8.92086680465615,-27.3415332805335
"10052","20200320_WILKES BARRE (PA) - SCRANTON (PA)",-35.8896341503997,7.70579755479092,-32.2887416557407
"10053","20200321_WILKES BARRE (PA) - SCRANTON (PA)",-43.871792909293,-0.522233166725456,-24.8323055113708
"10054","20200322_WILKES BARRE (PA) - SCRANTON (PA)",-42.4790646442999,-9.39969784297152,-25.3244374488363
"10055","20200323_WILKES BARRE (PA) - SCRANTON (PA)",-48.836164336153,-19.2453415239629,-41.4739100051247
"10056","20200324_WILKES BARRE (PA) - SCRANTON (PA)",-41.9910098300866,-9.21066201673178,-42.8926444064345
"10057","20200325_WILKES BARRE (PA) - SCRANTON (PA)",-44.8108164229666,-15.7852615255602,-43.3206285398628
"10058","20200326_WILKES BARRE (PA) - SCRANTON (PA)",-41.2719493121602,-10.2166592347574,-43.0833274543603
"10059","20200327_WILKES BARRE (PA) - SCRANTON (PA)",-42.6232927129575,-11.7719919069836,-42.4239063446321
"10060","20200328_WILKES BARRE (PA) - SCRANTON (PA)",-55.7110653364658,-25.1524848089556,-32.7343427419086
"10061","20200329_WILKES BARRE (PA) - SCRANTON (PA)",-49.6685290809501,-22.1929285937718,-32.0381083905147
"10062","20200330_WILKES BARRE (PA) - SCRANTON (PA)",-41.2711100610304,-16.2074008505654,-42.776255382588
"10063","20200331_WILKES BARRE (PA) - SCRANTON (PA)",-41.692474692685,-15.4300300160396,-45.3039466766055
"10064","20200401_WILKES BARRE (PA) - SCRANTON (PA)",-38.4359839736977,-8.99229765795026,-45.1414314522838
"10065","20200402_WILKES BARRE (PA) - SCRANTON (PA)",-43.4002276160875,-13.4529813048658,-45.8290816156749
"10066","20200403_WILKES BARRE (PA) - SCRANTON (PA)",-46.9842978176808,-14.1197633325125,-46.3052784303808
"10067","20200404_WILKES BARRE (PA) - SCRANTON (PA)",-52.0939655115039,-15.2648832302849,-33.8657211503265
"10068","20200405_WILKES BARRE (PA) - SCRANTON (PA)",-49.2850372371933,-19.4685770001265,-33.1522272433828
"10069","20200406_WILKES BARRE (PA) - SCRANTON (PA)",-41.8176414548825,-12.5895502220129,-45.6219130699978
"10070","20200407_WILKES BARRE (PA) - SCRANTON (PA)",-40.4687128688954,-12.0450468710604,-47.473717028334
"10071","20200408_WILKES BARRE (PA) - SCRANTON (PA)",-41.6792642549472,-10.4560767812739,-46.9220561969596
"10072","20200409_WILKES BARRE (PA) - SCRANTON (PA)",-44.1886588490358,-9.26585795403934,-48.9273132442262
"10073","20200410_WILKES BARRE (PA) - SCRANTON (PA)",-48.5088335880191,-13.3493179211774,-56.2169886168656
"10074","20200411_WILKES BARRE (PA) - SCRANTON (PA)",-45.4064013080717,-0.546800855742214,-36.3320039737359
"10075","20200215_ERIE (PA)",5.11469996593489,5.51995046883042,-1.92623038458765
"10076","20200216_ERIE (PA)",11.3875639964095,8.47195844553685,1.96969448319247
"10077","20200217_ERIE (PA)",5.39009774449177,3.19100332942952,-13.8115304186528
"10078","20200218_ERIE (PA)",-0.229399931869777,0.859522441946336,1.11469996593489
"10079","20200219_ERIE (PA)",0.8746752003501,-0.469424697454565,1.52804155446315
"10080","20200220_ERIE (PA)",1.44364710533579,3.85952244194634,1.6018111698755
"10081","20200221_ERIE (PA)",3.41786951321701,5.74735622409373,2.81605834334151
"10082","20200222_ERIE (PA)",8.21877509815477,15.2673066929242,1.91560555087264
"10083","20200223_ERIE (PA)",16.0303055168075,20.3102312200532,4.15816406453971
"10084","20200224_ERIE (PA)",-0.352730554913209,10.4229370093816,4.48711120394061
"10085","20200225_ERIE (PA)",2.85698869386405,6.61949767636155,2.22939993186978
"10086","20200226_ERIE (PA)",10.3592526562084,15.5331090506277,2.01515275840376
"10087","20200227_ERIE (PA)",-9.43102809501431,-2.74228872792916,-3.35725847960196
"10088","20200228_ERIE (PA)",-1.37041706139926,2.71904488389267,1.3289471394009
"10089","20200229_ERIE (PA)",-0.313794380997138,1.83827277451631,-3.29864162259337
"10090","20200301_ERIE (PA)",24.4871112039406,18.8872942106716,3.11469996593489
"10091","20200302_ERIE (PA)",8.12985272433865,10.8469034316249,4.3289471394009
"10092","20200303_ERIE (PA)",10.3698774899234,12.2450922617494,1.85698869386405
"10093","20200304_ERIE (PA)",9.91560555087264,8.95454172478871,0.841835935460289
"10094","20200305_ERIE (PA)",12.9282245611941,12.6665249359103,1.44364710533579
"10095","20200306_ERIE (PA)",4.61696392827926,3.53057530254543,2.11469996593489
"10096","20200307_ERIE (PA)",11.2986416225934,9.17331682294347,-0.143011306135947
"10097","20200308_ERIE (PA)",25.4497440143621,19.9590696494775,1.81153041865276
"10098","20200309_ERIE (PA)",10.1556303164574,14.4184090846928,1.41786951321701
"10099","20200310_ERIE (PA)",4.55381914658193,6.01768650648605,-0.571505653067974
"10100","20200311_ERIE (PA)",8.59927742179322,14.0586168570086,-1.41587533661055
"10101","20200312_ERIE (PA)",12.6962908812421,28.2319336799521,-0.0283113402010588
"10102","20200313_ERIE (PA)",8.71397738772811,32.0353730129721,-1.97168865979894
"10103","20200314_ERIE (PA)",-0.86205619002862,29.5305753025454,-1.85499451725758
"10104","20200315_ERIE (PA)",7.94947422862414,30.0187159193477,-1.90045279246888
"10105","20200316_ERIE (PA)",7.44364710533579,42.3163281290794,-13.357258479602
"10106","20200317_ERIE (PA)",-25.1020809556134,17.2531833473821,-22.1172337140172
"10107","20200318_ERIE (PA)",-32.017686506486,9.592755320498,-26.2167809215483
"10108","20200319_ERIE (PA)",-29.6887393670851,13.4133415885283,-28.7448224760114
"10109","20200320_ERIE (PA)",-36.0586168570086,10.5128887960594,-33.7599752344152
"10110","20200321_ERIE (PA)",-48.3057032953644,0.911077626183887,-31.5457280609492
"10111","20200322_ERIE (PA)",-40.5937200842428,-4.32085605376817,-28.989375166285
"10112","20200323_ERIE (PA)",-45.1172337140172,-10.1581640645397,-40.4461808534181
"10113","20200324_ERIE (PA)",-41.8746752003501,-5.44364710533579,-42.6043449179578
