"","Category","Total Cases","Total Deaths"
"472","20200307_BOSTON (MA) - MANCHESTER (NH)",13,0
"473","20200307_BURLINGTON (VT) - PLATTSBURGH (NY)",3,0
"474","20200307_CHARLESTON (SC)",1,0
"475","20200307_CHICAGO (IL)",6,0
"476","20200307_COLORADO SPRINGS (CO) - PUEBLO (CO)",1,0
"477","20200307_COLUMBIA (SC)",1,0
"478","20200307_DENVER (CO)",7,0
"479","20200307_EUREKA (CA)",1,0
"480","20200307_FRESNO (CA) - VISALIA (CA)",2,0
"481","20200307_FT. MYERS (FL) - NAPLES (FL)",3,1
"482","20200307_HONOLULU (HI)",1,0
"483","20200307_HOUSTON (TX)",8,0
"484","20200307_INDIANAPOLIS (IN)",1,0
"485","20200307_KANSAS CITY (MO)",1,0
"486","20200307_LAS VEGAS (NV)",1,0
"487","20200307_LEXINGTON (KY)",1,0
